item,path,database_table,metadata_differences
Anklets of Alacrity,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anklets-of-alacrity.md,Worn_Items,"page: vault='603', db='63'; traits: vault='apex, invested, magical', db='Apex, Invested, Magical, Transmutation'"
Ankylostar,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Ankylostar.md,Specific_Magic_Weapons,"traits: vault='magical, versatile-p', db='Magical, Transmutation'"
Anointed Waterskin,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anointed-waterskin.md,Held_Items,"traits: vault='divine, water', db='Divine, Evocation, Good, Water'"
Anointing Oil (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anointing-oil-greater.md,Consumables,"traits: vault='consumable, magical, oil', db='Consumable, Magical, Necromancy, Oil, Uncommon'"
Anointing Oil,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anointing-oil.md,Consumables,"traits: vault='consumable, magical, oil', db='Consumable, Magical, Necromancy, Oil, Uncommon'"
Anticorrosion Oil,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anticorrosion-oil.md,Consumables,"traits: vault='consumable, magical, oil', db='Consumable, Magical, Oil, Transmutation'"
Antidote (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antidote-greater.md,Alchemical_Items,
Antidote (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antidote-lesser.md,Alchemical_Items,
Antidote (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antidote-major.md,Alchemical_Items,
Antidote (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antidote-moderate.md,Alchemical_Items,
Antimagic Oil,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antimagic-oil.md,Consumables,"source: vault='gmcore', db='corerulebook'; page: vault='257', db='561'; traits: vault='consumable, magical, oil', db='Abjuration, Consumable, Magical, Rare'"
Antimagic,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Antimagic.md,Runes,"source: vault='gmcore', db='corerulebook'; page: vault='226', db='582'; traits: vault='magical', db='Abjuration, Magical, Uncommon'"
Antiplague (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antiplague-greater.md,Alchemical_Items,
Antiplague (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antiplague-lesser.md,Alchemical_Items,
Antiplague (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antiplague-major.md,Alchemical_Items,
Antiplague (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antiplague-moderate.md,Alchemical_Items,
Antipode Oil,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antipode-oil.md,Alchemical_Items,
Antivenom Potion,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antivenom-potion.md,Consumables,"source: vault='adventuretroublesinotari', db='troublesinotari'; page: vault='60', db='6'; traits: vault='consumable, magical, potion', db='Consumable, Magical, Necromancy, Potion'"
Antler Arrow,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antler-arrow.md,Consumables,
Anylength Rope (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anylength-rope-greater.md,Held_Items,"traits: vault='magical', db='Magical, Transmutation'"
Anylength Rope (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anylength-rope-lesser.md,Held_Items,"traits: vault='magical', db='Magical, Transmutation'"
Anylength Rope (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anylength-rope-moderate.md,Held_Items,"traits: vault='magical', db='Magical, Transmutation'"
Apotropaic Fulu,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\apotropaic-fulu.md,Consumables,"traits: vault='consumable, fulu, magical', db='Abjuration, Consumable, Fulu, Magical'"
Appetizing Flavor Snare,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\appetizing-flavor-snare.md,Snares,"traits: vault='consumable, mechanical, snare, trap', db='Consumable, Mechanical, Rare, Snare, Trap'"
Applereed Mutagen (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\applereed-mutagen-greater.md,Alchemical_Items,"traits: vault='alchemical, consumable, elixir, mutagen, polymorph', db='Alchemical, Consumable, Elixir, Mutagen, Polymorph, Rare'"
Applereed Mutagen (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\applereed-mutagen-lesser.md,Alchemical_Items,"traits: vault='alchemical, consumable, elixir, mutagen, polymorph', db='Alchemical, Consumable, Elixir, Mutagen, Polymorph, Rare'"
Applereed Mutagen (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\applereed-mutagen-moderate.md,Alchemical_Items,"traits: vault='alchemical, consumable, elixir, mutagen, polymorph', db='Alchemical, Consumable, Elixir, Mutagen, Polymorph, Rare'"
Apricot of Bestial Might,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\apricot-of-bestial-might.md,Alchemical_Items,"traits: vault='alchemical, consumable, elixir, mutagen, polymorph', db='Alchemical, Consumable, Elixir, Mutagen, Polymorph, Uncommon'"
Arachnid Harness (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arachnid-harness-greater.md,Specific_Magic_Armor,"traits: vault='invested, magical', db='Invested, Magical, Transmutation'"
Arachnid Harness,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arachnid-harness.md,Specific_Magic_Armor,"traits: vault='invested, magical', db='Invested, Magical, Transmutation'"
Arachnolute,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Arachnolute.md,Held_Items,"traits: vault='magical', db='Magical, Uncommon'"
Arbalest,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Arbalest.md,Weapon_Basic,
Arcane Scroll Case of Simplicity,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arcane-scroll-case-of-simplicity.md,Held_Items,"traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Archaic Wayfinder,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\archaic-wayfinder.md,Worn_Items,"page: vault='297', db='17'; traits: vault='invested, magical', db='Evocation, Invested, Magical, Uncommon'"
Architect's Pattern Book,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\architects-pattern-book.md,Grimoire,"traits: vault='grimoire, magical', db='Conjuration, Grimoire, Magical, Uncommon'"
Archivist's Gaze,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\archivists-gaze.md,Worn_Items,"traits: vault='apex, invested, magical', db='Apex, Divination, Invested, Magical'"
Arctic Vigor (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arctic-vigor-(greater).md,Tattoos,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='cold, invested, magical, tattoo', db='Cold, Evocation, Invested, Magical, Tattoo, Uncommon'"
Arctic Vigor,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arctic-vigor.md,Tattoos,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='cold, invested, magical, tattoo', db='Cold, Evocation, Invested, Magical, Tattoo, Uncommon'"
Arctic Worm Chitin Shield,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arctic-worm-chitin-shield.md,Specific_Magic_Shields,"traits: vault='invested, magical', db='Invested, Magical, Uncommon'"
Armbands of Athleticism (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armbands-of-athleticism-(greater).md,Worn_Items,"source: vault='gmcore', db='corerulebook'; page: vault='285', db='65'; traits: vault='invested, magical', db='Invested, Magical, Transmutation'"
Armbands of Athleticism,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armbands-of-athleticism.md,Worn_Items,"source: vault='gmcore', db='corerulebook'; page: vault='285', db='65'; traits: vault='invested, magical', db='Invested, Magical, Transmutation'"
Armbands of the Gorgon,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armbands-of-the-gorgon.md,Worn_Items,"page: vault='102', db='12'; traits: vault='apex, invested, magical', db='Apex, Invested, Magical, Transmutation'"
Armor Latches,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armor-latches.md,Adjustments,"level: vault='1', db='1.0'"
Armor of the Holy Warrior,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armor-of-the-holy-warrior.md,Specific_Magic_Armor,"traits: vault='divine, invested, magical', db='Divine, Good, Invested, Magical, Necromancy, Rare'"
Armor Polishing Kit,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armor-polishing-kit.md,Alchemical_Items,"source: vault='adventurerusthenge', db='rusthenge'; traits: vault='alchemical, consumable', db='Alchemical, Consumable, Uncommon'"
Armor Potency (+1),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armor-potency-1.md,Runes,"source: vault='gmcore', db='corerulebook'; page: vault='226', db='581'; traits: vault='magical', db='Magical, Abjuration'"
Armor Potency (+2),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armor-potency-2.md,Runes,"source: vault='gmcore', db='corerulebook'; page: vault='226', db='581'; traits: vault='magical', db='Magical, Abjuration'"
Armor Potency (+3),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armor-potency-3.md,Runes,"source: vault='gmcore', db='corerulebook'; page: vault='226', db='581'; traits: vault='magical', db='Magical, Abjuration'"
Armored Cloak,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armored-cloak.md,Armor_Basic,"level: vault='0', db='0.0'"
Armored Coat,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armored-coat.md,Armor_Basic,"level: vault='0', db='0.0'"
Armored Skirt,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armored-skirt.md,Mundane,"level: vault='0', db='0.0'"
Armory Bracelet (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armory-bracelet-greater.md,Worn_Items,"traits: vault='invested, magical', db='Conjuration, Invested, Magical'"
Armory Bracelet (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armory-bracelet-lesser.md,Worn_Items,"traits: vault='invested, magical', db='Conjuration, Invested, Magical'"
Armory Bracelet (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armory-bracelet-major.md,Worn_Items,"traits: vault='invested, magical', db='Conjuration, Invested, Magical'"
Armory Bracelet (Minor),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armory-bracelet-minor.md,Worn_Items,"traits: vault='invested, magical', db='Conjuration, Invested, Magical'"
Armory Bracelet (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\armory-bracelet-moderate.md,Worn_Items,"traits: vault='invested, magical', db='Conjuration, Invested, Magical'"
Aroma Concealer,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aroma-concealer.md,Alchemical_Items,
Arrow-Catching Shield,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arrow-catching-shield.md,Specific_Magic_Shields,"traits: vault='magical', db='Abjuration, Magical'"
Arsenic,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Arsenic.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'; page: vault='248', db='291'"
Artevil Suspension,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\artevil-suspension.md,Alchemical_Items,
Artificer Spectacles,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\artificer-spectacles.md,Worn_Items,"page: vault='102', db='12'; traits: vault='apex, invested, magical', db='Apex, Divination, Invested, Magical'"
Artisan's Toolkit (Sterling),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\artisans-toolkit-sterling.md,Mundane,"level: vault='3', db='3.0'"
Artisan's Toolkit,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\artisans-toolkit.md,Mundane,"level: vault='0', db='0.0'"
Ascendant Dragon Spirit,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ascendant-dragon-spirit.md,Consumables,"traits: vault='consumable, magical, potion', db='Consumable, Magical, Potion, Transmutation, Uncommon'"
Ash Gown (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ash-gown-(greater).md,Worn_Items,
Ash Gown,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ash-gown.md,Worn_Items,
Ashen (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ashen-greater.md,Runes,"rarity: vault='uncommon', db='Rare'; traits: vault='magical', db='Enchantment, Magical, Uncommon'"
Ashen,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Ashen.md,Runes,"rarity: vault='uncommon', db='Rare'; traits: vault='magical', db='Enchantment, Magical, Uncommon'"
Asp Coil,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\asp-coil.md,Weapon_Basic,"source: vault='thegrandbazaar', db='grandbazaar'"
Assassin's Bracers (Type I),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\assassins-bracers-type-i.md,Worn_Items,"source: vault='adventurepreyfordeath', db='preyfordeath'; traits: vault='illusion, invested, magical', db='Illusion, Invested, Magical, Uncommon'"
Assassin's Bracers (Type II),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\assassins-bracers-type-ii.md,Worn_Items,"source: vault='adventurepreyfordeath', db='preyfordeath'; traits: vault='illusion, invested, magical', db='Illusion, Invested, Magical, Uncommon'"
Assassin's Bracers (Type III),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\assassins-bracers-type-iii.md,Worn_Items,"source: vault='adventurepreyfordeath', db='preyfordeath'; traits: vault='illusion, invested, magical', db='Illusion, Invested, Magical, Uncommon'"
Assassin's Skin,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\assassins-skin.md,Specific_Magic_Armor,"source: vault='adventurepreyfordeath', db='preyfordeath'; traits: vault='invested, magical', db='Invested, Magical, Rare'"
Assisting,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Assisting.md,Runes,"traits: vault='magical', db='Magical, Transmutation'"
Astringent Venom,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\astringent-venom.md,Alchemical_Items,
Astrolabe (Mariner's),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\astrolabe-mariners.md,Mundane,"level: vault='3', db='3.0'; source: vault='pathfindersocietyguide', db='188theywatchedthestars'; page: vault='34', db='79'"
Atlatl,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Atlatl.md,Weapon_Basic,
Atmospheric Breathing Suit,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\atmospheric-breathing-suit.md,Mundane,"level: vault='3', db='0.0'"
Atmospheric Staff (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\atmospheric-staff-greater.md,Staff_Wand,"traits: vault='air, magical, staff, two-hand-d8', db='Air, Magical, Staff, Uncommon'"
Atmospheric Staff (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\atmospheric-staff-lesser.md,Staff_Wand,"traits: vault='air, magical, staff, two-hand-d8', db='Air, Magical, Staff, Uncommon'"
Atmospheric Staff (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\atmospheric-staff-major.md,Staff_Wand,"traits: vault='air, magical, staff, two-hand-d8', db='Air, Magical, Staff, Uncommon'"
Atmospheric Staff,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\atmospheric-staff.md,Staff_Wand,"traits: vault='air, magical, staff, two-hand-d8', db='Air, Magical, Staff, Uncommon'"
Auric Noodles,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\auric-noodles.md,Alchemical_Items,
Aurifying Salts,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aurifying-salts.md,Alchemical_Items,"page: vault='80', db='8'; traits: vault='alchemical, consumable', db='Alchemical, Consumable, Uncommon'"
Auspicious Scepter,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\auspicious-scepter.md,Specific_Magic_Weapons,"traits: vault='magical, shove', db='Divination, Magical'"
Authorized,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Authorized.md,Runes,"traits: vault='magical', db='Abjuration, Magical'"
Autumn's Embrace,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\autumns-embrace.md,Specific_Magic_Armor,"traits: vault='invested, laminar, magical', db='Conjuration, Invested, Magical'"
Avalanche Boots,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\avalanche-boots.md,Worn_Items,"page: vault='102', db='12'; traits: vault='apex, invested, magical', db='Apex, Invested, Magical, Transmutation'"
Avalanche of Stones Snare,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\avalanche-of-stones-snare.md,Snares,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='consumable, mechanical, snare, trap', db='Consumable, Mechanical, Snare, Trap, Uncommon'"
Azarim,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Azarim.md,Specific_Magic_Weapons,"source: vault='adventurecrownofthekoboldking', db='crownofthekoboldking'; traits: vault='deadly-d8, disarm, divine, finesse, holy, intelligent, magical', db='Divine, Evocation, Intelligent, Unique'"
Azure Lily Pollen,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\azure-lily-pollen.md,Alchemical_Items,"level: vault='10', db='1'; source: vault='kingmaker', db='kingmakeradventurepath'; traits: vault='alchemical, consumable, inhaled, poison', db='Alchemical, Consumable, Inhaled, Poison, Rare'"
Azure Worm Repellent,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\azure-worm-repellent.md,Alchemical_Items,"traits: vault='alchemical, consumable', db='Alchemical, Consumable, Uncommon'"
Backfire Mantle (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\B\backfire-mantle-(greater).md,Worn_Items,"traits: vault='invested, magical', db='Abjuration, Invested, Magical'"
